Loan Amount,Credit Score,Property Value,Loan-to-Value Ratio,Loan Term (years),Employment Length,Location,Loan Type,Property Type,State,Interest Rate,Debt-To-Income DTI,Down Payment $,Income,Ocuppancy Type
213909,823,639855,0.9609859326611307,15,5-10 years,Rural,Fixed,Single Family,CA,7.85,47,98445,270065,Primary
122109,653,500532,0.9960656773202883,40,1-3 years,Urban,Adjustable,Multi Family,NY,2.1,12,35167,329715,Secondary
422005,806,514737,0.8592973331664371,30,3-5 years,Rural,Adjustable,Multi Family,GA,6.28,22,70025,287254,Investment
160607,725,207519,0.6427404614775365,25,10+ years,Rural,Fixed,Condo,CA,6.58,16,40967,186009,Primary
425079,684,372091,0.9284692756466535,20,3-5 years,Rural,Adjustable,Townhouse,NC,5.65,19,44068,240756,Primary
358117,688,600927,0.520128753873655,40,10+ years,Urban,Adjustable,Multi Family,CA,2.86,22,24689,213980,Secondary
364559,767,637799,0.5641373196824322,40,5-10 years,Rural,Adjustable,Townhouse,TX,2.94,29,27007,208503,Secondary
358763,829,356788,0.7611232792596663,20,< 1 year,Urban,Adjustable,Townhouse,GA,8.87,25,75053,196115,Primary
494905,755,473682,0.7985448309157548,15,10+ years,Suburban,Fixed,Multi Family,OH,9.61,20,92306,246182,Investment
464765,799,671161,0.9400659557858683,25,3-5 years,Suburban,Adjustable,Single Family,TX,5.85,14,97214,169291,Investment
410935,649,381040,0.6134243214293553,40,5-10 years,Rural,Fixed,Condo,NY,3.15,39,34532,345420,Primary
351937,770,657552,0.7702636513561665,30,3-5 years,Suburban,Fixed,Single Family,FL,4.57,35,97849,325472,Secondary
460850,835,414444,0.7373718916080844,30,3-5 years,Rural,Adjustable,Townhouse,TX,6.91,14,89349,115290,Secondary
203642,643,372998,0.7350957235738964,30,10+ years,Suburban,Fixed,Single Family,NC,3.61,21,36002,148375,Investment
484531,728,594748,0.7249445140741386,15,10+ years,Suburban,Fixed,Single Family,CA,9.28,14,70710,156065,Investment
433182,733,614354,0.6032424412730474,15,3-5 years,Rural,Fixed,Multi Family,NY,7.78,45,46248,231564,Secondary
453338,670,462582,0.5885218483740865,25,10+ years,Rural,Adjustable,Townhouse,IL,6.8,20,73225,142838,Secondary
328351,714,612886,0.6940219725534295,40,1-3 years,Rural,Adjustable,Townhouse,PA,2.17,44,87327,185105,Investment
346478,844,633381,0.9926301934730033,20,3-5 years,Suburban,Fixed,Single Family,TX,7.79,24,26655,275237,Primary
374350,765,490962,0.8659463480979274,20,3-5 years,Suburban,Adjustable,Townhouse,IL,8.1,15,53837,140979,Investment
394565,822,345888,0.7626162792978943,40,1-3 years,Rural,Adjustable,Single Family,MI,5.24,17,90375,197172,Secondary
144892,804,376058,0.7212385418188687,25,< 1 year,Suburban,Adjustable,Townhouse,FL,5.7,33,23574,239752,Primary
425481,662,350814,0.5616821801854772,20,3-5 years,Urban,Fixed,Townhouse,MI,5.45,50,23510,127486,Investment
447620,739,356421,0.7150021717278916,40,< 1 year,Rural,Adjustable,Townhouse,PA,3.67,39,60107,120902,Secondary
142727,738,359391,0.9202081016053969,30,3-5 years,Rural,Fixed,Condo,GA,4.11,30,95554,267208,Secondary
107563,708,613495,0.594800638690862,15,5-10 years,Suburban,Adjustable,Multi Family,FL,9.15,41,52700,284126,Primary
412946,741,696121,0.5545826137664096,40,10+ years,Urban,Adjustable,Condo,NC,2.19,21,58946,146474,Investment
221202,808,370961,0.9670487983049765,25,10+ years,Rural,Fixed,Condo,IL,8.02,13,15295,137120,Secondary
303312,832,491236,0.9546734993694679,40,< 1 year,Suburban,Adjustable,Multi Family,OH,4.7,49,20729,177095,Primary
279096,711,475587,0.6394720990911167,30,10+ years,Rural,Fixed,Multi Family,CA,4.37,11,74486,125754,Primary
318355,741,494431,0.826731429992555,40,3-5 years,Urban,Adjustable,Single Family,GA,1.97,19,87102,207659,Investment
340303,809,506678,0.6124734069463255,40,10+ years,Urban,Fixed,Townhouse,NC,3.61,44,60862,104265,Primary
382650,816,526990,0.8788206074386583,30,1-3 years,Suburban,Fixed,Multi Family,GA,5.62,23,81213,152275,Investment
286393,756,572577,0.5123452350124913,25,1-3 years,Suburban,Adjustable,Condo,NY,6.29,26,49002,321807,Secondary
207563,820,507716,0.8755921020295458,25,3-5 years,Urban,Fixed,Townhouse,OH,6.07,41,39281,338306,Primary
376835,743,470107,0.9976405273111121,15,5-10 years,Rural,Fixed,Single Family,OH,9.77,11,77090,329948,Investment
489001,642,377785,0.5091560509528135,40,5-10 years,Rural,Adjustable,Townhouse,GA,2.3,29,18365,223019,Secondary
363937,755,301275,0.5825624469850065,30,3-5 years,Rural,Adjustable,Single Family,NY,6.22,12,66282,137710,Primary
208554,686,331412,0.5951847662435935,15,< 1 year,Rural,Adjustable,Single Family,NY,7.38,34,61724,114881,Secondary
386991,655,276613,0.9264992070123965,40,3-5 years,Rural,Fixed,Single Family,FL,3.22,31,95282,317965,Primary
338152,844,294003,0.5390545848940658,40,10+ years,Urban,Adjustable,Condo,GA,4.17,21,44220,298443,Primary
431605,843,350423,0.8710072590089326,30,3-5 years,Urban,Adjustable,Condo,IL,5.26,15,93091,116624,Secondary
261049,641,490465,0.8315624442370213,40,5-10 years,Rural,Fixed,Multi Family,CA,2.1,15,86055,347182,Investment
330946,751,486774,0.9406002583988794,25,1-3 years,Urban,Fixed,Multi Family,IL,6.22,30,32332,142719,Secondary
140604,712,416087,0.6573890377885001,15,3-5 years,Rural,Adjustable,Townhouse,TX,8.36,24,71666,267735,Primary
326417,800,640213,0.5527514080266613,30,< 1 year,Rural,Fixed,Townhouse,PA,7.36,13,23206,328616,Primary
436460,643,530883,0.625746355254442,40,10+ years,Urban,Fixed,Single Family,MI,3.69,46,37878,122565,Investment
496439,685,348429,0.8502947173147202,25,1-3 years,Rural,Adjustable,Multi Family,FL,6.73,34,95941,167980,Investment
161301,827,653799,0.7393351051118993,40,5-10 years,Rural,Fixed,Single Family,TX,5.15,17,48446,330807,Primary
249172,794,512639,0.5997516926950484,30,5-10 years,Rural,Fixed,Single Family,MI,5.04,26,26745,123275,Primary
294537,804,488363,0.8464142240627011,40,5-10 years,Urban,Fixed,Single Family,OH,3.8,25,17265,343398,Primary
193202,648,445960,0.8967425211148679,30,3-5 years,Rural,Fixed,Townhouse,TX,3.98,16,18322,322598,Investment
333827,650,357013,0.8393237960645417,30,5-10 years,Urban,Adjustable,Condo,TX,3.01,43,69906,244184,Investment
444431,746,356796,0.6939027480260227,40,1-3 years,Urban,Adjustable,Condo,NY,3.75,29,14163,339640,Primary
315822,802,465246,0.6776490735419278,40,10+ years,Suburban,Adjustable,Single Family,MI,3.59,50,66497,166345,Investment
353844,809,370548,0.5579427832153718,25,5-10 years,Suburban,Fixed,Single Family,FL,6.63,42,84903,112127,Primary
459919,725,423544,0.6700452947758444,30,3-5 years,Urban,Adjustable,Condo,GA,6.63,14,60195,128581,Secondary
138968,722,274755,0.587992687763697,20,1-3 years,Rural,Adjustable,Condo,PA,7.94,41,13155,348724,Investment
155463,652,268356,0.9640169243852588,20,1-3 years,Urban,Fixed,Multi Family,GA,5.96,20,76498,290558,Secondary
220815,664,678233,0.8284458687467973,15,< 1 year,Rural,Fixed,Single Family,NY,6.2,15,17050,123098,Primary
372979,786,295448,0.5714718718115608,40,10+ years,Urban,Adjustable,Townhouse,NC,5.1,29,51320,246692,Primary
306010,830,305413,0.5995159688856821,25,1-3 years,Suburban,Adjustable,Townhouse,FL,7.42,16,43736,246313,Secondary
304190,791,516615,0.9525340211255254,30,< 1 year,Suburban,Fixed,Townhouse,MI,4.51,17,19708,239385,Investment
231455,697,261895,0.7039593229452784,20,3-5 years,Suburban,Adjustable,Condo,MI,7.24,47,93557,106165,Primary
497030,650,447973,0.5825537832890876,40,1-3 years,Urban,Adjustable,Condo,NY,1.15,20,45181,245127,Secondary
304900,850,247768,0.576759142916224,15,1-3 years,Urban,Fixed,Single Family,GA,8.85,33,84594,102034,Primary
301743,696,528294,0.6440190071244616,40,1-3 years,Rural,Fixed,Multi Family,IL,2.07,36,40272,268196,Secondary
233134,812,401286,0.824101466839319,15,1-3 years,Suburban,Adjustable,Multi Family,GA,8.3,47,79072,199394,Primary
113462,759,441075,0.5591903601624376,30,1-3 years,Rural,Adjustable,Townhouse,CA,4.62,23,51350,204760,Primary
349686,740,377360,0.5599863754072869,40,10+ years,Rural,Fixed,Single Family,NY,3.94,21,87407,139602,Secondary
318974,736,641110,0.8637831958962514,40,< 1 year,Urban,Fixed,Multi Family,IL,2.74,42,67101,329510,Primary
151742,801,666157,0.7066517689619451,20,1-3 years,Urban,Adjustable,Multi Family,IL,7.95,12,44842,144425,Secondary
269484,664,455229,0.8394647498140186,40,< 1 year,Rural,Fixed,Multi Family,NY,2.33,44,81075,220263,Secondary
259860,653,419674,0.9869251291904289,20,5-10 years,Suburban,Adjustable,Townhouse,PA,6.05,10,16478,307325,Secondary
275456,751,552288,0.7826360446421632,15,< 1 year,Rural,Fixed,Condo,CA,9.11,36,30843,297126,Primary
447341,689,691620,0.9517535582971022,15,3-5 years,Urban,Fixed,Townhouse,TX,8.0,50,73287,179871,Secondary
118126,770,668602,0.5752200748111395,30,1-3 years,Suburban,Fixed,Single Family,GA,5.73,21,64312,316861,Primary
284077,789,539176,0.6968272880826878,25,10+ years,Suburban,Fixed,Single Family,NC,6.54,31,32346,165307,Primary
478546,680,250981,0.9059708887415625,25,< 1 year,Urban,Fixed,Multi Family,IL,5.95,19,73734,336092,Secondary
171795,832,550689,0.7284411619685529,40,10+ years,Rural,Fixed,Townhouse,NC,2.79,23,41201,234688,Primary
335325,713,653291,0.8722963460586943,15,1-3 years,Rural,Adjustable,Single Family,IL,6.75,10,78057,182893,Primary
477230,643,305327,0.5606837238508806,30,5-10 years,Suburban,Fixed,Multi Family,OH,3.13,46,59215,219710,Primary
177922,696,341590,0.6678436907154014,40,3-5 years,Suburban,Adjustable,Multi Family,IL,2.17,42,12250,202408,Investment
452805,833,308006,0.9768211131175891,20,3-5 years,Suburban,Adjustable,Single Family,MI,6.87,46,86518,217028,Primary
461734,813,654718,0.8404363096821112,40,5-10 years,Suburban,Fixed,Condo,NY,5.06,24,63562,124831,Primary
207316,784,316616,0.9219505777872006,25,5-10 years,Rural,Fixed,Multi Family,MI,7.56,35,55870,180563,Investment
161745,694,290172,0.549247616216407,40,< 1 year,Urban,Fixed,Single Family,IL,2.68,27,81857,149457,Investment
464014,693,563319,0.6694557151275857,15,< 1 year,Urban,Adjustable,Condo,FL,7.63,16,58157,196208,Secondary
341158,679,624753,0.6996491415018325,25,3-5 years,Urban,Adjustable,Multi Family,TX,6.57,22,46780,335941,Investment
346209,790,348945,0.5333897740366237,15,3-5 years,Suburban,Fixed,Multi Family,NC,7.43,45,16369,166294,Secondary
232571,700,600771,0.9267738791948763,30,5-10 years,Urban,Fixed,Multi Family,NC,5.28,40,61860,313886,Investment
245239,711,535661,0.7355345152715893,40,5-10 years,Rural,Fixed,Condo,GA,3.78,43,53961,230205,Investment
278786,659,631742,0.7477143867256142,30,< 1 year,Urban,Fixed,Condo,TX,5.73,43,12053,156599,Primary
332535,739,511609,0.7710479639685688,30,10+ years,Urban,Adjustable,Condo,NY,6.65,50,14727,342940,Secondary
160120,815,278240,0.8808468511733316,20,3-5 years,Urban,Fixed,Single Family,FL,9.46,26,67461,337650,Investment
299986,827,338805,0.8190280983737545,20,1-3 years,Rural,Fixed,Single Family,NY,7.37,24,44646,239940,Investment
306115,822,592091,0.7074710144897174,30,1-3 years,Urban,Fixed,Multi Family,IL,5.44,45,62150,210223,Investment
258945,711,254508,0.5018148918982137,15,10+ years,Suburban,Fixed,Townhouse,TX,7.17,16,60422,235317,Secondary
478909,693,351867,0.5597653037868426,15,5-10 years,Urban,Adjustable,Townhouse,TX,6.52,32,75538,300409,Investment
464673,700,674337,0.5354046468109526,20,3-5 years,Urban,Fixed,Multi Family,IL,7.98,13,28838,191361,Primary
286266,675,366129,0.9512875547134512,20,< 1 year,Suburban,Adjustable,Townhouse,MI,8.12,22,61995,141037,Secondary
446649,709,630420,0.5422663959159857,15,5-10 years,Urban,Adjustable,Townhouse,PA,9.13,40,31391,124606,Investment
290158,832,612502,0.7634198468396696,40,5-10 years,Rural,Fixed,Multi Family,FL,5.4,37,44267,348552,Primary
328674,764,543933,0.869086679092336,30,5-10 years,Rural,Fixed,Condo,IL,4.07,40,49824,246471,Investment
160918,707,310065,0.5757246979507498,30,5-10 years,Suburban,Fixed,Condo,MI,4.14,35,20633,348430,Primary
111550,825,411418,0.5697115339941775,15,1-3 years,Rural,Adjustable,Single Family,MI,10.04,38,92105,179253,Investment
283526,664,465263,0.8101404379338959,20,< 1 year,Rural,Adjustable,Single Family,PA,5.95,26,92645,200777,Investment
107984,836,558661,0.6434063165668016,25,< 1 year,Suburban,Fixed,Multi Family,OH,7.36,33,70044,181455,Primary
458365,759,461910,0.6208523971332948,15,3-5 years,Suburban,Fixed,Townhouse,CA,9.61,41,94385,300857,Secondary
468592,725,448531,0.6814664375171461,15,3-5 years,Suburban,Adjustable,Single Family,GA,8.2,28,71731,324519,Primary
155586,846,537631,0.6789691408895642,15,3-5 years,Urban,Adjustable,Condo,IL,10.49,36,66810,230258,Investment
180977,657,650475,0.528956805001328,30,3-5 years,Rural,Fixed,Townhouse,FL,4.19,16,76842,342895,Primary
362690,706,616291,0.7952345183832616,15,< 1 year,Urban,Adjustable,Single Family,NC,6.79,41,23509,222900,Primary
380558,732,653033,0.9401065298393273,25,< 1 year,Suburban,Adjustable,Townhouse,GA,7.58,50,60041,329297,Primary
318372,790,259407,0.7564933712157796,20,< 1 year,Suburban,Adjustable,Multi Family,NY,8.15,15,23190,196468,Investment
302430,718,344996,0.9017744199720638,20,3-5 years,Urban,Fixed,Multi Family,PA,8.24,37,18660,223861,Investment
462007,758,264958,0.8349632019324867,30,< 1 year,Suburban,Fixed,Condo,MI,4.99,42,95854,243572,Secondary
246276,797,585856,0.9942949874511956,15,3-5 years,Urban,Fixed,Single Family,GA,10.07,26,15213,306237,Secondary
266542,705,551966,0.8210631264485717,15,3-5 years,Rural,Adjustable,Multi Family,TX,6.55,15,58580,182141,Primary
467682,642,282890,0.510085752763022,30,10+ years,Suburban,Adjustable,Condo,PA,4.61,17,90203,176332,Investment
345693,709,456336,0.6604759231544999,15,1-3 years,Suburban,Adjustable,Townhouse,IL,7.14,18,67900,286000,Secondary
482642,733,456699,0.9439139022486018,25,1-3 years,Urban,Adjustable,Single Family,NC,6.39,25,62094,131509,Secondary
341188,661,378121,0.8541792400181385,30,10+ years,Urban,Fixed,Single Family,MI,5.68,24,81630,302060,Secondary
420430,645,683975,0.8823528174144541,25,1-3 years,Urban,Adjustable,Condo,NC,4.45,25,47945,167524,Investment
