Loan Amount,Credit Score,Property Value,Loan-to-Value Ratio,Loan Term (years),Employment Length,Location,Loan Type,Property Type,State,Interest Rate,Debt-To-Income DTI,Down Payment $,Income,Ocuppancy Type
467491,734,231463,0.8520927562325998,15,1-3 years,Suburban,Adjustable,Multi Family,CA,6.94,31,15515,190222,Primary
122857,656,406987,0.7022262451970402,25,5-10 years,Suburban,Fixed,Single Family,NY,4.86,37,53903,347800,Investment
406797,743,633219,0.53802868756613,25,3-5 years,Urban,Fixed,Multi Family,FL,6.67,50,50204,265631,Investment
285496,663,615998,0.7528633923537822,15,3-5 years,Rural,Fixed,Single Family,MI,7.58,32,29123,246740,Primary
447093,770,613928,0.6791539751244614,20,5-10 years,Suburban,Adjustable,Multi Family,IL,9.03,28,33327,157938,Secondary
305893,831,674332,0.9589009438425221,20,< 1 year,Rural,Adjustable,Condo,GA,8.91,23,86373,129190,Secondary
449608,738,651825,0.7483364622727933,30,10+ years,Suburban,Adjustable,Multi Family,PA,5.87,11,98212,255887,Investment
494155,797,605615,0.6086987637340413,15,1-3 years,Rural,Fixed,Townhouse,NY,9.42,26,84477,255873,Investment
106654,779,576183,0.7780386365444909,15,1-3 years,Rural,Adjustable,Condo,NY,8.18,23,32274,204528,Secondary
180214,849,541995,0.7802380235672528,30,1-3 years,Suburban,Fixed,Multi Family,IL,5.92,19,38726,102275,Primary
321089,742,697677,0.5630436437687871,25,10+ years,Urban,Fixed,Condo,PA,6.67,45,73948,321349,Investment
160071,826,590267,0.8783905473676591,30,5-10 years,Rural,Fixed,Single Family,TX,6.62,18,53653,323420,Primary
447826,726,224421,0.9424527567431369,30,5-10 years,Urban,Fixed,Multi Family,NC,5.19,36,29464,296060,Investment
120470,790,676772,0.9343307174763349,15,1-3 years,Suburban,Adjustable,Multi Family,NC,10.12,34,15704,291822,Investment
459565,833,642158,0.9714374727938143,40,1-3 years,Suburban,Adjustable,Condo,CA,5.62,16,98043,122696,Investment
300580,789,435559,0.691291677012603,25,5-10 years,Suburban,Fixed,Townhouse,OH,7.59,35,43626,259093,Primary
350402,796,643233,0.5198965866230001,25,5-10 years,Suburban,Adjustable,Condo,NY,8.25,44,34581,122316,Secondary
444459,742,577369,0.586520918815375,20,3-5 years,Urban,Adjustable,Multi Family,PA,7.58,25,17540,204378,Secondary
143990,742,349794,0.9232008902062852,15,1-3 years,Suburban,Adjustable,Multi Family,PA,7.09,13,43464,288066,Primary
193458,787,458320,0.9619343457534082,25,5-10 years,Rural,Adjustable,Townhouse,PA,5.3,49,18091,243778,Investment
471834,781,589767,0.8864601060377812,30,< 1 year,Urban,Fixed,Townhouse,GA,6.1,39,35544,152144,Secondary
468107,673,500240,0.6632139678344529,30,3-5 years,Urban,Fixed,Single Family,MI,4.85,27,26179,112083,Investment
179588,660,472465,0.8198890655726557,40,1-3 years,Rural,Fixed,Single Family,CA,2.16,50,33185,154339,Secondary
230649,695,451451,0.5945487974405832,30,1-3 years,Suburban,Fixed,Condo,NC,5.56,21,22118,136354,Secondary
318462,841,577115,0.7685402552363901,25,5-10 years,Suburban,Fixed,Multi Family,NY,7.04,35,62145,333290,Secondary
156356,696,588641,0.7144266462393503,20,10+ years,Urban,Fixed,Condo,MI,6.36,49,19207,309537,Secondary
207127,673,578087,0.5900509063131933,20,5-10 years,Rural,Adjustable,Condo,TX,8.1,48,34429,103545,Investment
274338,734,294014,0.9852162218931095,20,< 1 year,Urban,Adjustable,Single Family,PA,7.97,46,63635,344681,Investment
423330,704,328870,0.660718830899481,30,< 1 year,Suburban,Adjustable,Condo,IL,4.15,12,79649,192294,Investment
414330,676,405168,0.7310042854591855,20,1-3 years,Suburban,Fixed,Condo,CA,5.24,17,20714,334826,Investment
363859,759,381223,0.5532843138261224,40,3-5 years,Urban,Adjustable,Single Family,IL,2.69,10,38583,280783,Secondary
121675,754,612672,0.7332876280234237,20,5-10 years,Suburban,Fixed,Townhouse,NC,6.82,21,20545,246566,Investment
491621,838,640858,0.9527271897667243,20,< 1 year,Rural,Fixed,Multi Family,FL,7.55,43,14226,173522,Secondary
276436,812,404615,0.8221208015516066,30,10+ years,Rural,Fixed,Condo,GA,7.21,42,91619,270090,Secondary
468020,651,529475,0.7719809793905497,15,5-10 years,Rural,Adjustable,Condo,IL,7.76,29,26057,199139,Primary
340761,795,526556,0.6582425415247448,20,3-5 years,Suburban,Adjustable,Single Family,FL,8.46,25,36335,276725,Primary
131706,850,278149,0.8184224396320534,30,10+ years,Rural,Fixed,Townhouse,NC,6.64,47,23589,206925,Secondary
256970,714,410767,0.8711969360309197,30,5-10 years,Rural,Adjustable,Single Family,NC,3.95,11,95464,341917,Primary
397086,689,340441,0.7782761302089346,25,5-10 years,Rural,Adjustable,Townhouse,TX,6.34,29,92013,217565,Secondary
185508,652,377497,0.6934539802345314,40,5-10 years,Rural,Adjustable,Condo,MI,2.0,11,22489,313931,Primary
150648,779,637274,0.6570608878584971,20,< 1 year,Urban,Adjustable,Townhouse,GA,7.17,27,62761,320248,Investment
172585,774,419875,0.6824986278921106,20,1-3 years,Rural,Fixed,Townhouse,GA,7.96,24,93583,227512,Primary
439310,675,201416,0.5688574135915123,20,10+ years,Rural,Adjustable,Multi Family,TX,5.43,48,39863,303079,Investment
462296,673,441072,0.5998661515126368,15,< 1 year,Urban,Fixed,Single Family,IL,7.26,24,66370,186428,Secondary
305930,734,283736,0.521932087151492,20,3-5 years,Rural,Fixed,Single Family,NC,7.93,10,43425,175184,Primary
246626,754,257880,0.5228371581805282,15,1-3 years,Suburban,Fixed,Townhouse,FL,9.3,21,52103,125650,Secondary
260311,815,407060,0.6661217779207498,20,3-5 years,Suburban,Adjustable,Single Family,PA,8.64,47,13093,183164,Investment
351962,756,256666,0.6720854995871848,25,1-3 years,Urban,Fixed,Townhouse,GA,5.96,27,90075,179532,Secondary
472421,676,355350,0.7600700656758972,20,10+ years,Suburban,Fixed,Condo,MI,6.95,38,72679,173660,Investment
283782,810,230731,0.7080082618696886,30,1-3 years,Suburban,Fixed,Single Family,GA,6.48,27,51427,101814,Primary
166000,640,414230,0.7936746719853947,40,10+ years,Suburban,Adjustable,Condo,NC,3.8,18,12919,169711,Primary
119608,773,272512,0.9177640080752736,40,10+ years,Rural,Adjustable,Multi Family,NC,3.68,39,12394,334760,Investment
146481,827,260495,0.9937116981527259,15,3-5 years,Rural,Adjustable,Single Family,NC,7.69,23,54748,192210,Investment
345336,805,383930,0.9980240085286841,15,< 1 year,Suburban,Adjustable,Condo,IL,7.85,42,47819,175023,Primary
229280,835,490967,0.7102397555226645,40,5-10 years,Rural,Adjustable,Condo,GA,5.46,13,74840,121406,Investment
232594,832,382551,0.5578264341600114,15,5-10 years,Suburban,Adjustable,Single Family,CA,8.36,15,31712,197895,Investment
320699,778,355849,0.7532472935324768,15,5-10 years,Rural,Adjustable,Single Family,CA,9.57,25,46264,271305,Secondary
387087,736,632520,0.8637874024997438,15,3-5 years,Suburban,Fixed,Single Family,MI,8.13,29,24501,294610,Primary
486857,803,545445,0.9371138260411112,30,10+ years,Urban,Fixed,Condo,TX,6.49,39,25525,324063,Secondary
467992,763,277120,0.9063161565901681,25,3-5 years,Urban,Adjustable,Multi Family,MI,6.25,19,25741,175977,Investment
121848,753,593590,0.627779957551802,30,5-10 years,Suburban,Adjustable,Single Family,NC,6.33,27,43356,335273,Investment
485760,827,475428,0.9178470287992169,25,3-5 years,Rural,Fixed,Condo,NY,7.8,42,48776,346020,Primary
309876,674,445281,0.6390175330690524,30,10+ years,Suburban,Adjustable,Condo,CA,5.19,23,67638,110022,Investment
323556,801,537601,0.6659914103099318,40,< 1 year,Rural,Adjustable,Single Family,FL,3.6,14,75839,109112,Investment
105582,657,471467,0.8719920277790913,20,3-5 years,Urban,Adjustable,Single Family,MI,6.33,21,82904,262896,Secondary
275035,659,687756,0.9376075244939415,25,< 1 year,Suburban,Fixed,Condo,OH,6.58,29,50022,323924,Primary
406363,794,426159,0.6768639283196141,25,1-3 years,Urban,Adjustable,Townhouse,CA,5.72,15,81293,284946,Secondary
153358,652,348548,0.9279275633241613,15,3-5 years,Rural,Fixed,Multi Family,MI,8.83,21,24371,270050,Secondary
225380,754,638336,0.7922530159751706,30,1-3 years,Urban,Fixed,Townhouse,CA,6.52,40,10621,120666,Primary
129412,724,335012,0.6004004916135244,25,1-3 years,Rural,Fixed,Single Family,OH,5.21,13,33631,344864,Primary
154082,768,392020,0.5801835026181162,25,< 1 year,Rural,Fixed,Single Family,IL,6.95,50,87600,216992,Secondary
295549,789,611783,0.8159872895532319,15,< 1 year,Urban,Adjustable,Multi Family,IL,9.65,46,83943,213831,Investment
179952,659,584598,0.8961793119601957,40,10+ years,Suburban,Fixed,Single Family,PA,3.94,44,85639,294141,Investment
298926,836,363796,0.8365038288548734,25,1-3 years,Suburban,Fixed,Single Family,OH,5.85,10,14973,276521,Investment
293130,849,346564,0.5988651967873295,20,1-3 years,Suburban,Fixed,Condo,TX,9.3,24,89860,323277,Secondary
399889,779,241375,0.7188841423341512,20,1-3 years,Urban,Adjustable,Condo,IL,7.43,19,29301,163311,Investment
374070,643,335868,0.8128908576119507,15,3-5 years,Suburban,Adjustable,Townhouse,GA,7.58,30,92861,183129,Investment
127944,642,618715,0.5993891698356016,25,3-5 years,Rural,Adjustable,Single Family,IL,6.17,30,80969,228709,Secondary
483405,789,605200,0.5762620946184969,15,3-5 years,Rural,Adjustable,Townhouse,MI,7.54,37,37933,117087,Secondary
471804,775,690247,0.9549317649604349,30,3-5 years,Urban,Fixed,Townhouse,OH,7.12,30,39359,146889,Secondary
339396,798,259969,0.5588094850789704,40,5-10 years,Rural,Fixed,Townhouse,TX,3.59,44,91882,175624,Investment
299629,730,677087,0.9745987972065981,30,< 1 year,Suburban,Fixed,Condo,NC,4.7,18,30664,196324,Secondary
378893,827,471283,0.548981782834767,20,10+ years,Suburban,Fixed,Single Family,FL,9.38,31,62688,135212,Secondary
389281,737,302937,0.8433613532716546,20,1-3 years,Urban,Adjustable,Multi Family,TX,8.77,26,70782,336739,Investment
447086,742,652567,0.5034067494670829,20,5-10 years,Rural,Fixed,Townhouse,NC,5.93,12,78582,100691,Secondary
260248,800,669293,0.6485480998837827,15,< 1 year,Suburban,Fixed,Condo,GA,9.25,15,43183,154848,Investment
206594,716,683162,0.7491412354356145,20,10+ years,Urban,Fixed,Townhouse,NY,6.63,14,36323,331627,Secondary
310012,790,266126,0.5857520305452992,15,< 1 year,Rural,Fixed,Single Family,MI,7.77,35,21622,274419,Primary
128563,797,274031,0.7528462039738901,15,< 1 year,Urban,Fixed,Condo,PA,8.01,36,42077,283115,Secondary
264506,684,342456,0.8982211643647848,40,5-10 years,Rural,Adjustable,Single Family,IL,2.29,48,28386,323874,Investment
313574,817,490467,0.6037921896100031,25,3-5 years,Urban,Adjustable,Condo,NY,6.56,31,19240,216992,Secondary
483883,700,428561,0.78778160787195,15,1-3 years,Rural,Fixed,Single Family,NC,9.26,42,41555,272653,Primary
367750,758,653428,0.7211374530028627,15,3-5 years,Urban,Fixed,Multi Family,PA,8.32,45,38092,149212,Investment
370041,781,458232,0.9414547829639266,25,10+ years,Urban,Fixed,Townhouse,FL,5.83,49,99273,130184,Secondary
261446,676,681061,0.8652032984715584,15,3-5 years,Urban,Fixed,Single Family,OH,8.39,44,30960,145348,Secondary
492510,805,603253,0.9570875279258027,20,< 1 year,Rural,Fixed,Condo,NY,8.63,14,90920,150758,Investment
160105,755,379944,0.5982346316680268,25,10+ years,Rural,Adjustable,Townhouse,IL,6.49,15,47582,278800,Investment
231486,838,235858,0.8871936503787239,25,10+ years,Rural,Fixed,Condo,PA,6.29,44,79898,269030,Investment
117467,667,466123,0.6641717039300729,15,< 1 year,Rural,Adjustable,Condo,MI,8.17,25,55443,221228,Investment
171137,828,585899,0.7764547965321327,40,< 1 year,Rural,Adjustable,Multi Family,GA,2.89,14,10453,118699,Investment
117531,697,343345,0.8462847126748241,25,10+ years,Suburban,Adjustable,Townhouse,NC,5.51,23,92102,124382,Secondary
193366,672,670641,0.9000876142254838,20,1-3 years,Urban,Fixed,Single Family,MI,7.21,42,89780,213581,Primary
142104,789,357932,0.8429567617297073,15,5-10 years,Urban,Adjustable,Multi Family,MI,9.2,39,36528,138354,Secondary
223065,683,469281,0.6372243982725382,15,10+ years,Urban,Adjustable,Single Family,OH,9.18,25,72547,190020,Secondary
374208,786,370350,0.677210537856981,20,1-3 years,Rural,Adjustable,Townhouse,IL,8.27,43,28552,231969,Investment
242545,831,261766,0.7312156085877731,30,5-10 years,Rural,Fixed,Single Family,CA,7.49,49,31749,312934,Secondary
108743,673,391061,0.5300733409347651,20,3-5 years,Rural,Fixed,Multi Family,IL,6.44,49,81641,321432,Secondary
458704,801,586412,0.6252400895304039,15,3-5 years,Suburban,Adjustable,Townhouse,OH,8.69,41,62078,340778,Primary
470647,830,657191,0.5011752698271025,40,10+ years,Rural,Fixed,Single Family,OH,3.36,31,39964,324990,Secondary
478849,688,348567,0.5708932627717374,25,3-5 years,Urban,Adjustable,Multi Family,OH,5.8,14,28733,225725,Primary
331940,810,493510,0.5078475776579533,40,5-10 years,Rural,Adjustable,Single Family,NY,2.58,23,48388,230218,Secondary
260044,807,680178,0.8829363981421379,30,10+ years,Urban,Fixed,Townhouse,CA,6.96,43,93638,196156,Secondary
326325,735,585713,0.8828524474447796,40,< 1 year,Rural,Fixed,Condo,OH,4.09,25,49546,105293,Primary
489277,648,225391,0.9486354582366086,40,3-5 years,Rural,Fixed,Multi Family,GA,3.01,21,96451,342759,Secondary
277131,806,504713,0.5926455184144266,30,5-10 years,Suburban,Adjustable,Multi Family,CA,4.61,10,47162,225935,Investment
392808,751,257762,0.8107665312353984,25,3-5 years,Urban,Adjustable,Condo,MI,7.56,41,29397,305971,Investment
137584,804,519900,0.5728044062028496,30,1-3 years,Urban,Fixed,Condo,NY,6.53,15,72613,220801,Primary
346765,722,278291,0.8022511118421793,15,10+ years,Urban,Fixed,Townhouse,OH,7.85,27,63442,292059,Primary
342082,669,312556,0.7847234252156164,25,1-3 years,Suburban,Adjustable,Condo,IL,6.81,43,37112,128490,Investment
298272,736,665786,0.5501154511429569,25,1-3 years,Rural,Adjustable,Multi Family,PA,5.68,33,16848,131643,Primary
119622,817,536361,0.9332739338933582,20,5-10 years,Suburban,Adjustable,Condo,TX,8.73,50,64529,304530,Investment
384067,775,392916,0.5710024451239081,40,1-3 years,Suburban,Adjustable,Condo,IL,5.0,48,57722,217177,Secondary
301518,666,691760,0.54322455301162,40,10+ years,Urban,Fixed,Single Family,OH,2.47,17,61156,263090,Investment
312377,795,613183,0.6831577655979194,30,1-3 years,Rural,Adjustable,Condo,NY,6.51,39,34604,304776,Investment
334255,774,694795,0.6978991793910965,40,3-5 years,Rural,Adjustable,Townhouse,GA,4.84,47,85637,324450,Primary
494738,728,394419,0.6407979305766318,40,5-10 years,Rural,Fixed,Condo,CA,2.16,48,84718,323074,Primary
323759,828,516376,0.5917419533064716,15,5-10 years,Urban,Adjustable,Townhouse,MI,9.85,25,83283,273246,Primary
323638,809,440880,0.9491429234387598,20,10+ years,Rural,Fixed,Townhouse,GA,7.69,25,25631,179133,Secondary
384834,657,288205,0.6334225772419619,20,< 1 year,Rural,Fixed,Multi Family,MI,5.58,31,50614,268479,Secondary
384731,809,385373,0.7195593061627767,20,5-10 years,Suburban,Fixed,Single Family,NY,8.96,44,58121,104466,Investment
166001,749,564150,0.7844651245661627,30,1-3 years,Rural,Fixed,Condo,NY,4.97,42,38413,247807,Investment
326897,643,563168,0.7583052740729223,25,1-3 years,Urban,Fixed,Single Family,CA,4.62,10,47767,314377,Secondary
193471,788,450978,0.5319025562814247,20,< 1 year,Rural,Fixed,Single Family,TX,8.3,37,17558,295151,Primary
189908,742,319164,0.9714791873026465,25,5-10 years,Urban,Fixed,Townhouse,FL,7.13,39,66353,102184,Primary
178354,698,295340,0.8290251696907079,20,10+ years,Urban,Adjustable,Multi Family,NY,7.61,43,24307,295240,Investment
237388,674,312007,0.6428600482611269,25,< 1 year,Urban,Adjustable,Single Family,OH,5.33,29,99191,310565,Investment
364170,725,565140,0.840888204305593,40,10+ years,Urban,Fixed,Multi Family,OH,2.97,23,45067,185580,Primary
162867,663,257598,0.7720162063342991,40,1-3 years,Rural,Fixed,Condo,TX,3.49,43,94948,267142,Investment
321847,711,622772,0.9129247234895155,25,5-10 years,Urban,Adjustable,Townhouse,MI,4.9,37,80342,206320,Investment
188082,803,582950,0.7446136022080176,15,< 1 year,Rural,Adjustable,Single Family,IL,8.54,27,37973,260204,Investment
455560,749,362034,0.8353731023251825,25,5-10 years,Urban,Fixed,Condo,IL,5.57,26,62599,113464,Secondary
212162,773,365968,0.5939325881456717,40,3-5 years,Urban,Fixed,Condo,NY,3.61,17,68257,253393,Primary
425516,669,691435,0.9131761196651554,25,10+ years,Suburban,Adjustable,Condo,IL,6.37,47,46548,166181,Primary
499013,692,357706,0.8874825715500009,25,1-3 years,Urban,Fixed,Condo,TX,4.57,17,27219,272762,Investment
468305,848,691272,0.6544843225278942,30,10+ years,Rural,Fixed,Condo,CA,7.42,24,84096,279515,Primary
264845,847,628374,0.7362071898591134,25,5-10 years,Rural,Adjustable,Single Family,NC,7.92,44,93392,240444,Secondary
354593,794,246957,0.9216669096113641,30,< 1 year,Urban,Adjustable,Multi Family,IL,5.29,17,64190,205392,Primary
491530,710,677896,0.7892460769847642,30,3-5 years,Rural,Fixed,Multi Family,OH,5.34,40,67703,314448,Primary
485534,733,459997,0.9969480720564488,30,10+ years,Urban,Adjustable,Condo,CA,6.19,20,33998,182466,Primary
403575,710,477527,0.6384989846967888,15,1-3 years,Suburban,Adjustable,Townhouse,MI,7.36,25,29269,106444,Investment
188235,751,558070,0.9880453184454052,15,3-5 years,Urban,Adjustable,Single Family,MI,9.59,40,62623,320497,Secondary
257224,808,323534,0.9216008756935216,25,5-10 years,Rural,Fixed,Single Family,CA,8.19,48,38433,211196,Secondary
366699,697,261934,0.9447449911555559,40,3-5 years,Suburban,Adjustable,Multi Family,PA,1.62,47,12815,115849,Secondary
215101,757,237596,0.8895236297475465,25,1-3 years,Rural,Adjustable,Townhouse,FL,5.01,21,51527,285073,Investment
378080,778,670710,0.9628643290068102,25,3-5 years,Suburban,Adjustable,Multi Family,GA,6.14,41,41273,114154,Primary
188920,727,603403,0.8693249420356953,30,10+ years,Rural,Fixed,Townhouse,CA,5.01,28,47822,263571,Primary
313113,760,413544,0.8053796515107092,15,3-5 years,Rural,Adjustable,Single Family,FL,7.42,48,28739,274878,Secondary
434911,817,621232,0.7136537595094827,15,< 1 year,Suburban,Adjustable,Townhouse,IL,9.78,40,45383,281962,Investment
306834,641,421594,0.700237982629635,25,1-3 years,Urban,Adjustable,Multi Family,MI,3.94,38,81272,247494,Primary
457242,744,421407,0.8992557562313837,20,3-5 years,Rural,Adjustable,Multi Family,NC,7.61,16,17352,114515,Primary
481081,769,479878,0.6869525052228691,25,5-10 years,Urban,Fixed,Single Family,NC,5.85,18,86522,337041,Primary
374877,847,616123,0.9542688103084671,15,3-5 years,Suburban,Fixed,Townhouse,CA,10.12,32,64498,240651,Investment
147580,707,697047,0.9695209254556929,30,1-3 years,Rural,Fixed,Single Family,TX,4.02,19,55550,123163,Secondary
285434,816,638068,0.7533873471888063,40,5-10 years,Urban,Adjustable,Single Family,TX,3.6,27,27251,258975,Secondary
329379,755,224180,0.6333256221352643,25,10+ years,Suburban,Adjustable,Condo,GA,6.28,18,81090,298270,Secondary
177821,742,385182,0.8017099192044571,20,3-5 years,Rural,Fixed,Condo,NY,7.4,25,69723,344658,Primary
131483,646,417288,0.5498513058618113,30,< 1 year,Suburban,Fixed,Townhouse,CA,4.22,38,66940,119999,Investment
231502,840,318026,0.6717439979375031,25,< 1 year,Rural,Adjustable,Townhouse,MI,6.73,35,93479,163007,Secondary
427519,666,692685,0.7008282737217291,40,< 1 year,Suburban,Fixed,Multi Family,CA,2.17,11,92137,245557,Secondary
184132,780,329282,0.7024092883965667,30,1-3 years,Urban,Fixed,Multi Family,TX,4.65,36,13806,205087,Secondary
465047,676,555930,0.509943540375511,25,3-5 years,Rural,Adjustable,Multi Family,TX,4.25,22,94498,111109,Secondary
432262,688,205028,0.6033113776140862,15,1-3 years,Rural,Fixed,Single Family,IL,8.64,18,77682,122928,Investment
237396,808,518290,0.8819068431831574,15,1-3 years,Suburban,Fixed,Condo,NC,10.37,36,78815,105510,Primary
142325,846,683782,0.9909513677659998,40,10+ years,Rural,Fixed,Multi Family,NY,3.97,30,61158,130478,Investment
285672,761,252654,0.8681707447785738,20,10+ years,Rural,Fixed,Condo,NY,8.62,42,27355,179392,Secondary
496552,781,325255,0.5521605517786758,40,1-3 years,Suburban,Fixed,Condo,PA,3.41,29,91387,340491,Secondary
217559,768,606488,0.825386420285374,25,3-5 years,Suburban,Adjustable,Multi Family,MI,5.96,18,62488,233752,Investment
173515,747,672821,0.9644216785738124,25,5-10 years,Suburban,Fixed,Condo,NY,6.77,41,43170,151470,Investment
414907,728,627596,0.9021196053580518,30,1-3 years,Suburban,Adjustable,Multi Family,OH,4.98,15,47839,184480,Primary
121813,749,412783,0.9458040702715049,15,3-5 years,Rural,Fixed,Condo,NC,9.48,27,72737,211039,Primary
258999,841,262246,0.9747235264772007,25,10+ years,Urban,Adjustable,Townhouse,TX,8.38,43,38077,245825,Primary
197161,834,445214,0.5413386541721796,40,1-3 years,Urban,Adjustable,Townhouse,IL,4.19,28,85119,274572,Primary
121089,682,280774,0.6670300259379176,20,5-10 years,Urban,Fixed,Single Family,CA,7.48,17,45718,137095,Primary
415382,665,649998,0.6281495986113723,40,5-10 years,Suburban,Adjustable,Single Family,IL,1.87,34,63550,203180,Primary
372161,677,571538,0.9881869439555793,40,3-5 years,Urban,Adjustable,Single Family,MI,1.75,49,32516,169243,Investment
379679,840,292095,0.6555204029521584,40,10+ years,Urban,Adjustable,Single Family,MI,4.23,45,29380,280409,Investment
433939,785,308790,0.7753868763907619,20,< 1 year,Urban,Adjustable,Condo,OH,7.68,16,61640,120469,Secondary
154432,807,606841,0.785570510356524,25,5-10 years,Suburban,Fixed,Single Family,MI,8.39,42,50759,211068,Secondary
134604,824,414212,0.6432527845777899,15,5-10 years,Suburban,Fixed,Condo,CA,9.76,46,24450,225119,Secondary
395947,812,438083,0.6810552759744931,15,3-5 years,Suburban,Adjustable,Townhouse,GA,7.69,14,32884,122981,Investment
292320,667,537635,0.6029121814627914,40,3-5 years,Rural,Adjustable,Townhouse,CA,2.09,30,24059,266747,Primary
106098,800,340876,0.6662831859023118,25,3-5 years,Suburban,Adjustable,Single Family,TX,5.99,40,81156,349680,Secondary
129158,836,648236,0.6426847530025044,15,3-5 years,Suburban,Fixed,Multi Family,TX,8.34,22,99049,349382,Primary
196005,702,517358,0.971308592171698,30,3-5 years,Urban,Adjustable,Townhouse,OH,4.36,30,55038,262386,Investment
236787,819,363633,0.8827079559703195,25,1-3 years,Urban,Fixed,Condo,OH,5.79,47,15008,279035,Primary
461741,798,689921,0.6403226514414312,30,10+ years,Urban,Fixed,Condo,MI,6.48,42,79290,303481,Secondary
104185,712,572971,0.9813994717929437,30,5-10 years,Rural,Fixed,Single Family,FL,4.42,40,87727,344675,Primary
182881,671,506352,0.8064462711675575,40,1-3 years,Suburban,Adjustable,Townhouse,PA,2.69,27,26291,225225,Primary
255196,848,476272,0.7937126462604159,15,1-3 years,Rural,Adjustable,Single Family,NY,8.88,49,92670,141006,Secondary
186302,680,569186,0.8381951022990191,25,3-5 years,Suburban,Fixed,Condo,CA,6.94,37,89739,197816,Secondary
292149,750,426124,0.9043746928566792,15,10+ years,Rural,Fixed,Multi Family,OH,8.2,41,41813,267526,Secondary
129908,743,619719,0.8905294435064075,15,< 1 year,Urban,Adjustable,Condo,PA,7.23,49,58930,258208,Primary
376204,686,480998,0.8303950185710796,15,1-3 years,Suburban,Adjustable,Single Family,NC,7.18,19,88737,201623,Investment
230890,659,243185,0.5302268691087104,20,5-10 years,Urban,Adjustable,Multi Family,CA,6.79,32,10997,271381,Primary
154384,716,292521,0.833834390844444,25,10+ years,Urban,Fixed,Townhouse,IL,4.81,43,23038,255585,Investment
243229,837,529016,0.9317035962778988,25,1-3 years,Rural,Adjustable,Condo,IL,8.53,17,14300,264183,Primary
123213,706,443901,0.6640339949929182,30,< 1 year,Rural,Fixed,Multi Family,CA,3.62,47,16075,128146,Investment
333040,778,681795,0.5578634549136492,20,1-3 years,Urban,Fixed,Single Family,CA,6.63,14,49617,216181,Primary
397333,745,428955,0.8704499842755431,30,1-3 years,Suburban,Fixed,Single Family,TX,6.37,32,81024,260506,Primary
